Source / mod JAR,Namespace,Advancement ID,Native title,Native description / source meaning,Trigger surface,Frame,Parent,Completion significance,Proposed presenter,Proposed INCLUDE/EXCLUDE,Proposal rationale / exclusion reason,Presenter rationale,Reserved by V5 quest (fill after detectors are pinned),Overlord override,Overlord presenter override,Overlord notes
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/hit_raider_with_rotten_tomato,Boo! Hiss!,Throw a Rotten Tomato at one of these pesky raiders!,player_hurt_entity,task,farmersdelight:main/harvest_ropelogged_tomato,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/master_chef,Master Chef,Eat a course of every meal available!,consume_item,challenge,farmersdelight:main/place_feast,YES,Gristle,INCLUDE,completion significance (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/obtain_netherite_knife,If You Can't Take the Heat...,Spend a whole Netherite Ingot to upgrade your knife! Or get out of the kitchen.,inventory_changed,challenge,farmersdelight:main/use_cutting_board,YES,Giblet the Sixth,INCLUDE,completion significance (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/place_campfire,Bonfire Lit,Place down a Campfire to cook some food,placed_block,task,farmersdelight:main/root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/place_cooking_pot,Dinner's Served!,Put down a Cooking Pot and start preparing meals!,placed_block,goal,farmersdelight:main/place_campfire,,Gristle,INCLUDE,goal-frame milestone (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/place_feast,A Glorious Feast,Some meals are big enough to be placed down and shared with friends!,placed_block,task,farmersdelight:main/eat_nourishing_food,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/place_organic_compost,Advanced Composting,"Place down some Organic Compost. It composts better with sun, water and mushrooms!",placed_block,task,farmersdelight:main/harvest_straw,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/place_skillet,Sizzling Hot!,Sneak to place your Skillet down as a block,placed_block,task,farmersdelight:main/use_skillet,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/plant_all_crops,Crop Rotation,"Cultivate every food-related plant you can find, such as vegetables, fruits, fungi or roots!",placed_block,challenge,farmersdelight:main/plant_rice,YES,Gristle,INCLUDE,completion significance (Q210),event theme (Q212),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/plant_rice,Dipping Your Roots,Plant grains of Rice in a shallow water puddle,placed_block,task,farmersdelight:main/get_fd_seed,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/root,Farmer's Delight,A world of flavor awaits you!,inventory_changed,task,,,Gristle,INCLUDE,domain entry milestone (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/use_cutting_board,Watch Your Fingers,"With a tool in hand, use a Cutting Board to break down an item",farmersdelight:use_cutting_board,task,farmersdelight:main/craft_knife,,Gristle,INCLUDE,distinct authored native event (Q210),source domain (Q212 fallback / Q214),,,,
FarmersDelight-1.20.1-1.3.4.jar,farmersdelight,farmersdelight:main/use_skillet,Portable Cooking,"Skillets let you cook on the go. Stand near heat, then hold food in your other hand!",consume_item,task,farmersdelight:main/place_campfire,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_acropolis,Why in the Sky?,Find the Acropolis,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_ancient_factory,Out-of-Place,Find the Ancient Factory,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_burning_arena,A Massive Arena,Find the Burning Arena,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_cursed_pyramid,Desert Pyramid Revamped,Find the Cursed Pyramid,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_frosted_prison,Jail of Cold,Find the Frosted Prison,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_ruined_citadel,Another Stronghold?!,Find the Ruined Citadel,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_soul_black_smith,Where the Monstrous be Forged,Find the Soul Forge,location,task,cataclysm:root,,Mortis,INCLUDE,place/structure discovery (Q210),event theme (Q212),,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:find_sunken_city,Sunken in the Sea,Find the Sunken City,location,task,cataclysm:root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_all_bosses,The Cataclysmfarer,You have reached the summit of Cataclysm!,player_killed_entity,challenge,cataclysm:root,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_clawdian,Not so Shrimple Now,Kill an Clawdian,player_killed_entity,task,cataclysm:find_acropolis,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_ender_golem,Palette Swap,Kill an Ender Golem,player_killed_entity,task,cataclysm:find_ruined_citadel,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_harbinger,The Thing of Ancient Civilization,Wake and Defeat the Harbinger,player_killed_entity,challenge,cataclysm:find_ancient_factory,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_ignis,The Extinguished Fire,Summon and Defeat the Ignis,player_killed_entity,challenge,cataclysm:kill_revenant,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_leviathan,A Multidimensional Predator,Summon and Defeat the Leviathan,player_killed_entity,challenge,cataclysm:find_sunken_city,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_maledictus,Crusade Against Curse,Summon and Defeat Maledictus,player_killed_entity,challenge,cataclysm:find_frosted_prison,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_monstrosity,The Broken Nether's Warmachine,Kill the Netherite Monstrosity,player_killed_entity,challenge,cataclysm:find_soul_black_smith,,Giblet the Sixth,INCLUDE,challenge-frame milestone (Q210),event theme (Q212),,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_remnant,Death Finds a Way,Excavate from the suspicious sand within the cursed pyramid to wake up and knock down the Ancient Remnant,player_killed_entity,challenge,cataclysm:find_cursed_pyramid,,Mortis,INCLUDE,challenge-frame milestone (Q210),event theme (Q212),,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_revenant,Imperfect thing,Kill an Ignited Revenant,player_killed_entity,task,cataclysm:find_burning_arena,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:kill_scylla,The Calm after the Storm,"Defeat the Storm Empress, Scylla",player_killed_entity,challenge,cataclysm:kill_clawdian,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
L_Enders_Cataclysm-3.31.jar,cataclysm,cataclysm:root,Cataclysm,Cataclysm!,tick,task,,,Gnarl,INCLUDE,domain entry milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:all_hats,Grand Hat Collector,Collect every hat the mod has to offer!,inventory_changed,challenge,rats:root,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:ball_of_filth,Cleanliness is Close to Godliness!,Craft a Ball of Filth from an ungodly amount of Garbage,inventory_changed,goal,rats:garbage_pile,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:black_death,Dance Macabre!,"Encounter the Black Death, a possessed Plague Doctor summoned by a lightning strike",player_hurt_entity;player_killed_entity;rats:black_death_summoned,goal,rats:plague_doctor,,Mortis,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:cheese,We've Forgotten the Crackers!,Turn a Block of Cheese into four Cheese,inventory_changed,task,rats:milk_cauldron,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:cheese_stick,Cheese Touch,"Craft a Cheese Staff, used for setting drop-off and pickup locations for tamed rats",inventory_changed,task,rats:tame_rat,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:contaminated_food,Stop that Health Inspector!,Find disgusting contaminated food left behind by a rat,inventory_changed,task,rats:root,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:defeat_black_death,Do Not Go Quietly Into the Night,Defeat the Black Death,player_killed_entity,challenge,rats:black_death,,Mortis,INCLUDE,challenge-frame milestone (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:defeat_rat_king,King of the World!,Slay the Rat King,player_killed_entity,challenge,rats:ball_of_filth,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:garbage_pile,Too Much Trash in Your Face? There's No Trash in Space!,Obtain a garbage pile from putting blocks in a trash can. They can be used to build rat-exclusive mob farms!,inventory_changed,task,rats:trash_can,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:milk_cauldron,Curdling Time,Pour milk into a cauldron and wait for it to turn to cheese,item_used_on_block,task,rats:root,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:nether_cheese,Spicy Pepper Jack,Obtain nether cheese from a demon rat in the nether,inventory_changed,task,rats:cheese,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:piper,Pay the Piper,Encounter a rat-controlling fiend,inventory_changed;player_hurt_entity;player_killed_entity,task,rats:root,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:plague,Down with the Sickness!,Catch the plague from a Plague Rat,effects_changed,task,rats:root,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:plague_cure,The Medieval Treatment,Find a possible cure for the plague,inventory_changed,task,rats:plague_doctor,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:plague_doctor,I AM THE CURE!,Find a Plague Doctor in a village or out in the wild,player_interacted_with_entity,task,rats:plague,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_cage,Despite All My Rage...,"Craft a Rat Cage, used for breeding rats",inventory_changed,task,rats:tame_rat,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_cage_decoration,A Gilded Cage,Place a rat cage decoration in a Rat Cage,item_used_on_block,task,rats:rat_cage,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_crafting_table,Rat Auto-Crafting,Craft a Rat Crafting Table,inventory_changed,goal,rats:rat_upgrade_crafting,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_music_disc,Rat Tunes,Get a music disc by killing a Pied Piper with a rat,inventory_changed,challenge,rats:piper,,Quaver,INCLUDE,challenge-frame milestone (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_trap,An Effective Classic,Craft a Rat Trap,inventory_changed,task,rats:root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_basic,Rat Specialization,"Craft Rat Upgrade: Basic, used to craft advanced rat upgrades",inventory_changed,task,rats:tame_rat,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_chef,The Rat is the Cook!,"Craft a Rat Upgrade: Chef, which makes rats cook held items",inventory_changed,goal,rats:rat_upgrade_basic,,Gristle,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_crafting,Crafty Rats!,"Craft Rat Upgrade: Crafting, the first step in rat auto-crafting",inventory_changed,goal,rats:rat_upgrade_basic,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_demon,I Seen This Before...,"Craft a Rat Upgrade: Demon, a well rounded nether-proof rat upgrade",inventory_changed,task,rats:nether_cheese,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_flight,Essentially Pigeons,"Craft a Rat Upgrade: Flight, enabling rats to take to the skies",inventory_changed,goal,rats:rat_upgrade_basic,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_god,Whats a Man to a King?,"Craft Rat Upgrade: God, turning your rat into an almost unstoppable killing machine",inventory_changed,challenge,rats:rat_upgrade_warrior,,Gnarl,INCLUDE,challenge-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_idol,False Prophet,"Craft a Rat Upgrade: Idol, an upgrade that enamors piglins",inventory_changed,goal,rats:rat_upgrade_basic,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_pickpocket,Talk of the Town,"Craft a Rat Upgrade: Pickpocket, turning your rat into a sneaky village thief",inventory_changed,goal,rats:rat_upgrade_basic,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_platter,Carry Weight 64,"Craft Rat Upgrade: Platter, used to make rats transport an entire stack of items at a time",inventory_changed,task,rats:cheese_stick,YES,Gnarl,INCLUDE,completion significance (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_sculked,One with the Souls,"Craft a Rat Upgrade: Sculked, making your rat one with the lost souls of the sculk",inventory_changed,goal,rats:rat_upgrade_basic,,Mortis,INCLUDE,goal-frame milestone (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_strength,Rat Karate,"Craft Rat Upgrade: Strength, making your rat pack a powerful punch",inventory_changed,task,rats:rat_upgrade_basic,,,EXCLUDE,repetitive advancement family member (Q213),,,,,
Rats-1.20.1-8.1.3.jar,rats,rats:rat_upgrade_warrior,Rat Warrior Clan,"Craft Rat Upgrade: Warrior, making your rat stronger, have armor and higher health",inventory_changed,goal,rats:rat_upgrade_strength,,Gnarl,INCLUDE,goal-frame milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:ratbow_essence,In Stunning Technicolor!,"Craft a Ratbow Essence, which can be used to dye a rat a constant shifting rainbow",player_interacted_with_entity,task,rats:tame_rat,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:root,Rats,Rat Patootie,tick,task,,,Gnarl,INCLUDE,domain entry milestone (Q210),"default, no specialist theme",,,,
Rats-1.20.1-8.1.3.jar,rats,rats:tame_rat,An Unlikely Alliance,Tame a Rat by dropping Cheese near it repeatedly until it is full,tame_animal,task,rats:cheese,,Gristle,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
Rats-1.20.1-8.1.3.jar,rats,rats:trash_can,This Mod is Trash,"Craft a trash can from a cauldron, some iron ingots and an iron nugget. Use it to create garbage piles!",inventory_changed,task,rats:root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
TheOuterEnd-1.0.13.jar,outer_end,outer_end:end/find_catacombs,An Even Worse Fortress,Find the Catacombs,location,task,minecraft:end/enter_end_gateway,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
TheOuterEnd-1.0.13.jar,outer_end,outer_end:end/find_end_tower,Ender Construction,Enter the End Tower,location,task,minecraft:end/enter_end_gateway,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/black_bone_staff,Staff of Nortoq'gul,Attain the Staff of Nortoq'gul.,inventory_changed,task,graveyard:graveyard/summon_lich,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/corruption,Source of Evil,Obtain corruption from graves or graveyard mobs.,inventory_changed,task,graveyard:graveyard/root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/craft_coffin,Well prepared,Obtain a coffin.,inventory_changed,task,graveyard:graveyard/dark_iron,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/crypt,Into Darkness,Find an underground crypt.,location,task,graveyard:graveyard/root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/cyan_bone_staff,Staff of Mynakta'gul,Attain the Staff of Mynakta'gul.,inventory_changed,task,graveyard:graveyard/summon_lich,,Gnarl,INCLUDE,distinct authored native event (Q210),"default, no specialist theme",,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/dark_iron,"Iron, but dark",Obtain a dark iron ingot.,inventory_changed,task,graveyard:graveyard/corruption,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/dead_tree,Hanging Tree,Discover the truth about the dead tree.,location,task,graveyard:graveyard/corruption,,Mortis,INCLUDE,place/structure discovery (Q210),event theme (Q212),,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/desert_graveyard,"Dust, Sand and Bones",Find a desert graveyard.,location,task,graveyard:graveyard/root,,Mortis,INCLUDE,place/structure discovery (Q210),event theme (Q212),,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/equip_ghouling_coffin,The dead shall serve,Equip a Ghouling with a coffin or sarcophagus.,graveyard:equip_coffin,task,graveyard:graveyard/white_bone_staff,,Lestat,INCLUDE,distinct authored native event (Q210),event theme (Q212),,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/find_skeleton,Pseudo Archaeologist,Obtain a decorative skeleton.,inventory_changed,task,graveyard:graveyard/root,,,EXCLUDE,single-item acquisition tick (Q210),,,,,
The_Graveyard_3.1_(FORGE)_for_1.20.1.jar,graveyard,graveyard:graveyard/giant_mushroom,Corrupting the Paradise,Find a mutated mushroom on the mushroom islands.,location,task,graveyard:graveyard/root,,Gnarl,INCLUDE,place/structure discovery (Q210),"default, no specialist theme",,,,
